Startup_Name,Location,Industry
100Art,"Kolkata,West Bengal",Fashion
Priyanshu sinha,"Delhi,Delhi",
SOLVBIZ TAXCOM TECHNOLOGIES LLP,"Kolkata,West Bengal",Professional & Commercial Services
God's Eye,"Kolkata,West Bengal",Internet of Things
Altaswiq Agencia,"Buxar,Bihar",Marketing
Vijay Drrama Tradehub Private limited,"Delhi,Delhi",Retail
RoamPrime,"Bengaluru Urban,Karnataka",Retail
MTown Studios ltd.,"Palakkad,Kerala",Toys and Games
RMSQUARE INNOVATIONS PRIVATE LIMITED,",Karnataka",
ABUS OVERSEAS,"Surat,Gujarat",Education
Growbus,"Bengaluru,Karnataka",Security Solutions
GENEX PROTECTIVE SERVICES PRIVATE LIMITED,"Jabalpur,Madhya Pradesh",Professional & Commercial Services
NOURISH KART PRIVATE LIMITED,",Karnataka",
REVIVERAYS HEALTHCARE TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Urban,Karnataka",Healthcare & Lifesciences
M/S JB CONSTRUCTION AND INFRASTRUCTURE,"Cuttack,Odisha",Construction
Infominez,"Indore,Madhya Pradesh",IT Services
Design Era Engineering Consultants,"Ganderbal,Jammu and Kashmir",Professional & Commercial Services
Dcatzoon,"Kozhikode,Kerala",Social Network
Schola,"Ahmedabad,Gujarat",Education
POWERAM DEFTECH PRIVATE LIMITED,"Pune,Maharashtra",Professional & Commercial Services
KEZAN INDIA PRIVATE LIMITED,"Lucknow,Uttar Pradesh",Human Resources
BLUEINFINITY INNOVATION LABS PRIVATE LIMITED,"Mumbai,Maharashtra",Aeronautics Aerospace & Defence
GERIATX HEALTH SCIENCES (OPC) PRIVATE LIMITED,"Thane,Maharashtra",Healthcare & Lifesciences
Modern Stage Events,"Faridabad,Haryana",Events
BELGI FOOTWEAR LLP,"Central Delhi,Delhi",Textiles & Apparel
STUDYFY EDUCATION PRIVATE LIMITED,"Central Delhi,Delhi",Education
Touch Universe,"Chalakudy,Kerala",Media & Entertainment
BabyCue Pvt Ltd,"Mangaluru,Karnataka",Healthcare & Lifesciences
RV WEALTH BUILDERS PRIVATE LIMITED,"Bhopal,Madhya Pradesh",Professional & Commercial Services
Minakshi Cakes,"Vadodara,Gujarat",Food & Beverages
Matrica Solutions Private Limited,"East Delhi,Delhi",Professional & Commercial Services
LURKHS Power Systems,"Coimbatore,Tamil Nadu",Transportation & Storage
4ASP FODDIES HEAVEN LLP,"Thane,Maharashtra",Food & Beverages
Sarvashree Technogreen Private Limited,"Ahmednagar,Maharashtra",Professional & Commercial Services
SAVDA EDUCATION SERVICES PRIVATE LIMITED,",Delhi",
Smart segregator,"Chennai,Tamil Nadu",Waste Management
KAMDHENU BIO FERTILISER PRIVATE LIMITED,"Udaipur,Rajasthan",Agriculture
TRUE BROKER,"Coimbatore,Tamil Nadu",Real Estate
TVP Studios,"Hyderabad,Telangana",
DEUSENT ENERGY PRIVATE LIMITED,",Uttar Pradesh",
Clevercraft Private Limited,"Kolkata,West Bengal",Retail
Vedisync Private Limited,"Lucknow,Uttar Pradesh",Healthcare & Lifesciences
JOYNAGAR MOA FARMERS PRODUCER COMPANY LIMITED,"South 24 Parganas,West Bengal",Agriculture
DimensionLabs,"Siliguri,West Bengal",Technology Hardware
KRIAM PHARMA PRIVATE LIMITED,",Gujarat",
A.R.S. INTERNATIONAL PRIVATE LIMITED,"Anjar,Gujarat",Automotive
VOWELS LIVE CONCEPT MEDIA PRIVATE LIMITED,"Ranga Reddy,Telangana",Analytics
Ambh Technologies Pvt. Ltd.,"Noida,Uttar Pradesh",Technology Hardware
AB-COM,"Jaipur,Rajasthan",
OHM CONSULTANT EDUCATION PRIVATE LIMITED,"Ahmedabad,Gujarat",Education
FRELISH FOODS PRIVATE LIMITED,"Chennai,Tamil Nadu",Food & Beverages
VISION SOLAR,"Alappuzha,Kerala",Renewable Energy
HJM ADVISORS PRIVATE LIMITED,",Gujarat",
COZY WITCH COSMETICS,"Noida,Uttar Pradesh",Healthcare & Lifesciences
anything delivery cab,"Begusarai,Bihar",Logistics
Rapt Enterprises,"Hyderabad,Telangana",Construction
ARNSOFT TECHNOLOGIES PRIVATE LIMITED,"Hyderabad,Telangana",IT Services
QR CABS INDIA,"Hyderabad,Telangana",IT Services
NOUVORAIL TECH PRIVATE LIMITED,"Noida,Uttar Pradesh",Technology Hardware
Kidstop Fashion,"Gurugram,Haryana",Fashion
M/S NEW LAKSHMI TRANSPORT COMPANY,"Jammu,Jammu and Kashmir",Transportation & Storage
IDIOM SEMICON,"Noida,Uttar Pradesh",Nanotechnology
Midfin,"Coimbatore,Tamil Nadu",IT Services
Nancy Agrawal,"Ranchi,Jharkhand",
SOULTICKET PRIVATE LIMITED,"Gandhinagar,Gujarat",Travel & Tourism
PropExcellence LLP,"Pune,Maharashtra",Real Estate
EMVAC HEALTHCARE SOLUTIONS PRIVATE LIMITED,"Vadodara,Gujarat",Healthcare & Lifesciences
Navitech,"Coimbatore,Tamil Nadu",AI
WE ARE TRAVELLERS,"Ahmedabad,Gujarat",Travel & Tourism
KALINDRYKUNJ FARMER PRODUCER COMPANY LIMITED,",Madhya Pradesh",
PRO SKILLS TRAINING AND CONSULTANCY SERVICES,"Ernakulam,Kerala",Education
Roots of India,"Mumbai,Maharashtra",Marketing
Aashdit Digital,"Bhubaneswar,Odisha",Technology Hardware
Scopway Business Pvt Ltd,"Surat,Gujarat",IT Services
Sightsee Holidays,"Bengaluru Urban,Karnataka",Travel & Tourism
DCX EDIFY PRIVATE LIMITED,",Bihar",
Power of Granny(POG),"Chennai,Tamil Nadu",Advertising
BNZ GREEN TECHNOLOGIES PRIVATE LIMITED,"Mumbai Suburban,Maharashtra",Green Technology
SURENDER KAUR AGRO FARMER PRODUCER COMPANY LIMITED,"Sri Ganganagar,Rajasthan",Agriculture
EVCA SERVICES LLP,",Uttar Pradesh",
KHART,"Bengaluru,Karnataka",IT Services
NAAR,"Solan,Himachal Pradesh",Food & Beverages
BW Infra Supplies Pvt Ltd,"South Delhi,Delhi",Other Specialty Retailers
SMC AQUA SOLUTIONS PRIVATE LIMITED,",Punjab",
SUNRISE LIFESCIENCES PRIVATE LIMITED,"Mumbai Suburban,Maharashtra",Chemicals
PANGARKAR INFRA LLP,"Ratnagiri,Maharashtra",Construction
AK SECURITY HOUSEKEEPING AND LABOUR SERVICES PRIVATE LIMITED,"Dewas,Madhya Pradesh",Human Resources
Braini Books,"Shivamogga,Karnataka",Enterprise Software
Goldvibe Interiors Pvt. Ltd.,"Noida,Uttar Pradesh",Architecture Interior Design
REDEEM INDIA CONSTRUCTION HARDWARES AND SERVICES PRIVATE LIMITED,"Central Delhi,Delhi",Construction
Alience Property,"Howrah,West Bengal",Real Estate
SHOWROOM,"Bhavnagar,Gujarat",Technology Hardware
JUNIOR DELIGHT INDIA PRIVATE LIMITED,"Alwar,Rajasthan",Toys and Games
Class and Country lifespaces,"Thane,Maharashtra",Real Estate
ANURAG CONSULTANCY INDIA ASSETS PRIVATE LIMITED,"Pune,Maharashtra",Finance Technology
Ayyanar traders,"Chennai,Tamil Nadu",Retail
Parkrti Skills Private Limited,"Faridabad,Haryana",Education
AssoTech Group of Engineers,"Srinagar,Jammu and Kashmir",Construction
PETALUMA TUTORING SERVICES,"Meerut,Uttar Pradesh",Education
Nurtimagic,"Hyderabad,Telangana",Food & Beverages
INNOVATEALPHA TECHVENTURES PRIVATE LIMITED,"Gurugram,Haryana",Sports
SENWELL EXPORTS PRIVATE LIMITED,"Pune,Maharashtra",Renewable Energy
ALLEPPEY UNITED VENTURES PRIVATE LIMITED,"Alappuzha,Kerala",Professional & Commercial Services
YEM FOUR CONSTRUCTION AND SOLUTIONS,"Kozhikode,Kerala",Construction
JM Production,"Bengaluru,Karnataka",Advertising
Sanjog Logistics,"Thane,Maharashtra",Logistics
HIGHSEA MARINE RETRIFIT SERVICES,"Visakhapatnam,Andhra Pradesh",Professional & Commercial Services
Nutrileafz Innovations Private Limited,"Gautam Buddha Nagar,Uttar Pradesh",Agriculture
TRI-AAYAM ENGINEERING SOLUTIONS PRIVATE LIMITED,"Ahmedabad,Gujarat",Technology Hardware
ANUPRA BASIC MEALS LLP,",West Bengal",
Arcade by Ansh,"Bhopal,Madhya Pradesh",Fashion
Homesy smart technology (P) Ltd.,"Bhubaneswar,Odisha",IT Services
Sharpwave Technology LLP,"Patna,Bihar",Advertising
SAHYADREESOFTTECH PRIVATE LIMITED,"Pune,Maharashtra",IT Services
manpower supply,"Deoria,Uttar Pradesh",Construction
ST INFOTECH IT SOLUTION,"Hooghly,West Bengal",IT Services
Thelewala,"Indore,Madhya Pradesh",Social Impact
Swastik Multi Management Private Limited,"Thane,Maharashtra",AI
Macha Community,"Ballari,Karnataka",Enterprise Software
RAJ AGRO FARMING,"Jhunjhunu,Rajasthan",Agriculture
JGRIVE TECH PRIVATE LIMITED,"Bengaluru,Karnataka",Internet of Things
SV DESIGN 4 SPACE LLP,"Pune,Maharashtra",Architecture Interior Design
Hydroxpress India Private Limited,"Pune,Maharashtra",Automotive
QUICK RESPONSE FINANCIAL TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Urban,Karnataka",Finance Technology
KIRTEE EDIBLES PRIVATE LIMITED,"Aurangabad,Maharashtra",Agriculture
Collaber Media Technology LLP,"Delhi,Delhi",Social Network
ROHANSH DEVELOPERS PRIVATE LIMITED,"Ambala,Haryana",Construction
Abhinav Bhaskar,"Patna,Bihar",
Xplor App,"Thiruvananthapuram,Kerala",Transportation & Storage
M/S Om Constructon And Suppliers,"Ballia,Uttar Pradesh",Construction
ABIOT SOLUTIONS PRIVATE LIMITED,"Bengaluru Urban,Karnataka",Internet of Things
MAHARAJA D'SIGNERS &amp; GARMENTS (INDIA) PRIVATE LIMITED,"Hyderabad,Telangana",Fashion
MARS WEB ( MEGHA RETAIL SERVICES WEB ),"Noida,Uttar Pradesh",Retail
JUSTON SERVICES PRIVATE LIMITED,",Odisha",
BioWeave,"Thiruvananthapuram,Kerala",Healthcare & Lifesciences
PAY2MENT SOFTWARE TECHNOLOGIES PRIVATE LIMITED,",Delhi",
SE-DI GLOBAL IMPEX PRIVATE LIMITED,"Kanpur Nagar,Uttar Pradesh",Food & Beverages
WINTOCATION LLP,",Jammu and Kashmir",
A S CAPITAL,"Noida,Uttar Pradesh",Waste Management
Runzo Technology Private limited,"Karimganj,Assam",Travel & Tourism
ROSE AXOM CLINIC (OPC) PRIVATE LIMITED,"Kamrup,Assam",Renewable Energy
