s_id,Startup_Name,Location,Industry
64f5818ae4b0c7662b3b0de6,ROMC Pvt Ltd,"Chennai,Tamil Nadu",Healthcare & Lifesciences
64f5817be4b0c7662b3b0ddd,SCTS INDIA PRIVATE LIMITED,"Thane,Maharashtra",Construction
64f58111e4b0c7662b3b0dab,Prabhune Venture,"Satara,Maharashtra",Renewable Energy
64f58074e4b0c7662b3b0d78,TIRUPATI CONSTRUCTION,"Lucknow,Uttar Pradesh",Construction
64f58069e4b0c7662b3b0d72,AVADH SUNSHINE PALACE HOTEL AND RESORT,"Faizabad,Uttar Pradesh",Travel & Tourism
64f58067e4b0c7662b3b0d6f,Mwc digital marketing Solution,"Gurugram,Haryana",Advertising
64f5802de4b0c7662b3b0d5f,CRANESMITH SERVICES PVT LTD,"Chennai,Tamil Nadu",Other Specialty Retailers
64f5800ee4b0c7662b3b0d4e,NEU WELLNESS PRIVATE LIMITED,"South West Delhi,Delhi",Healthcare & Lifesciences
64f57f91e4b0c7662b3b0d16,RSM CORPORATION,"Bokaro Steel City,Jharkhand",Professional & Commercial Services
64f84fb6e4b00b8c0d98f1e5,ACED EDUCATE COUNCIL,"Bagalkot,Karnataka",Education
64f84f7be4b00b8c0d98f1c9,Vidruth Tech Private Limited,"Ranga Reddy,Telangana",IT Services
64f84f47e4b00b8c0d98f1b4,SAERA KETO EV PRIVATE LIMITED,",Delhi",
64f84f02e4b00b8c0d98f19c,UV Research and Innovations,"Bengaluru,Karnataka",Healthcare & Lifesciences
64f84e5ee4b00b8c0d98f15c,SHRRNS ORGANIC FOOD PRODUCTS PRIVATE LIMITED,"Sidhi,Madhya Pradesh",Agriculture
64f84d34e4b00b8c0d98f0fb,utf technologies i pvt ltd,"Bengaluru,Karnataka",Marketing
64f84d25e4b00b8c0d98f0ed,ARAMESH HEMP PRIVATE LIMITED,",Maharashtra",
64f84c53e4b00b8c0d98f0a0,Simbifi India Private Limited,"Bengaluru Urban,Karnataka",Finance Technology
64f84bb5e4b00b8c0d98f06b,BioCon,"Pune,Maharashtra",Construction
64f857b6e4b00b8c0d98f5fd,SIGMASQUAD LIFESTYLE PRIVATE LIMITED,"Gurugram,Haryana",Fashion
64f85746e4b00b8c0d98f5c3,ANAMTA INFRA PROJECT PRIVATE LIMITED,"Paschim Bardhaman,West Bengal",Construction
64f85744e4b00b8c0d98f5be,harsha,"Baksa,Assam",Analytics
64f8571ce4b00b8c0d98f5af,Phoenix Communications,"East Delhi,Delhi",Telecommunication & Networking
64f856e5e4b00b8c0d98f58b,LENNOX MOTORS (OPC) PRIVATE LIMITED,"Paschim Bardhaman,West Bengal",Technology Hardware
64f85618e4b00b8c0d98f51f,VELOXIA INNOVATIONS PRIVATE LIMITED,"Cuttack,Odisha",Food & Beverages
64f8560de4b00b8c0d98f51c,JAMUDA BIOFRIENDLY (OPC) PRIVATE LIMITED,"Howrah,West Bengal",Green Technology
64f855fbe4b00b8c0d98f514,GMK AI NEXUS,"Visakhapatnam,Andhra Pradesh",AI
64f8552ee4b00b8c0d98f4a7,Kanvas Chemical Pvt Ltd,"New Delhi,Delhi",Chemicals
64f16ed1e4b0c7662b3a111c,SUSTAINABILITYNEXT PRIVATE LIMITED,"Bengaluru Urban,Karnataka",Education
64f16e32e4b0c7662b3a10eb,AKIHIRO TECHNOLOGIES PRIVATE LIMITED,",Karnataka",
64f16c6fe4b0c7662b3a1074,AFIFA PROJECTS LLP,"Kishanganj,Bihar",Healthcare & Lifesciences
64f164e7e4b0c7662b3a0ead,ENVOSSIBLE SERVICES PRIVATE LIMITED,"Panchkula,Haryana",IT Services
64f16074e4b0c7662b3a0de0,VISAI - An Innovation Company,"Sattur,Tamil Nadu",Green Technology
64f16013e4b0c7662b3a0dd2,Gopal Cary Bag,"Janjgir-champa,Chhattisgarh",Marketing
64f15fc9e4b0c7662b3a0dc7,Om Shree SKANTA Graphene LLP,"Thoothukudi,Tamil Nadu",Nanotechnology
64f15fbae4b0c7662b3a0dc1,DIGITAL COMUTER ACADEMY,"Jamui,Bihar",Education
64f153f5e4b0c7662b3a0c34,Artistic Media Solutions Private Limited,"Ernakulam,Kerala",Media & Entertainment
64f864d7e4b00b8c0d98fb46,LITTLE INDIAN SPICE AGRO PRIVATE LIMITED,"Jaipur,Rajasthan",Food & Beverages
64f864c7e4b00b8c0d98fb3f,Resilient IoT Private Limited,"Lucknow,Uttar Pradesh",Internet of Things
64f864a2e4b00b8c0d98fb2b,Map Institute of Technology and Management,"Mirzapur,Uttar Pradesh",Education
64f863e8e4b00b8c0d98fafa,BuyUsed,"Jaipur,Rajasthan",Enterprise Software
64f863d7e4b00b8c0d98faf7,MONEYVESTA CAPITAL SERVICES PRIVATE LIMITED,"Gurugram,Haryana",Finance Technology
64f8636ce4b00b8c0d98fabe,Mecanica Asia Inc,"North West Delhi,Delhi",Healthcare & Lifesciences
